Group,String,Position,ID,Voc,Isc,Vmp,Imp
6,2,5,346,52.02,13.83,43.15,12.83
6,2,6,264,38.93,13.64,32.4,12.83
6,2,7,442,39.22,13.67,32.71,12.83
6,2,8,122,52.64,14.08,43.8,12.83
6,2,9,145,39.91,13.96,33.38,12.84
6,2,10,357,39.57,13.85,33.03,12.84
6,3,0,498,52.73,14.1,43.91,12.84
6,3,1,356,39.08,13.65,32.56,12.84
6,3,2,491,39.62,13.82,33.11,12.84
6,3,3,294,43.58,13.8,36.16,12.84
6,3,4,22,39.39,13.73,32.88,12.85
6,3,5,410,52.38,13.97,43.54,12.85
6,3,6,338,39.48,13.79,32.96,12.85
6,3,7,466,39.53,13.83,33.0,12.85
6,3,8,159,39.72,13.89,33.19,12.86
6,3,9,411,39.66,13.84,33.14,12.86
6,3,10,327,39.74,13.9,33.21,12.87
6,4,0,211,39.6,13.8,33.09,12.87
6,4,1,178,38.89,13.61,32.36,12.87
6,4,2,454,52.59,14.05,43.76,12.87
6,4,3,331,52.36,13.96,43.53,12.88
6,4,4,35,39.16,13.71,32.63,12.88
6,4,5,273,52.46,14.01,43.6,12.88
6,4,6,151,43.9,13.97,36.53,12.88
6,4,7,198,39.55,13.84,33.02,12.89
6,4,8,195,39.62,13.82,33.11,12.89
6,4,9,147,52.48,14.02,43.62,12.9
7,0,0,463,52.75,14.11,43.93,12.91
7,0,1,71,52.77,14.13,43.95,12.91
7,0,2,157,52.36,13.99,43.49,12.91
7,0,3,377,52.18,13.89,43.34,12.92
7,0,4,384,39.92,13.96,33.39,12.92
7,0,5,469,39.45,13.77,32.94,12.92
7,0,6,100,39.67,13.85,33.15,12.93
7,0,7,302,43.76,13.89,36.37,12.93
7,0,8,111,43.37,13.71,35.87,12.93
7,0,9,376,43.65,13.84,36.21,12.94
7,1,0,64,39.75,13.9,33.21,12.94
7,1,1,75,39.56,13.84,33.02,12.95
7,1,2,479,39.88,13.94,33.36,12.95
7,1,3,179,39.79,13.87,33.28,12.95
7,1,4,204,43.61,13.82,36.18,12.95
7,1,5,234,52.17,13.91,43.28,12.97
7,1,6,415,52.45,14.01,43.59,12.97
7,1,7,402,52.46,13.99,43.65,12.98
7,1,8,83,52.26,13.93,43.4,12.98
7,1,9,186,52.02,13.85,43.11,12.98
7,2,0,129,52.34,13.98,43.47,12.98
7,2,1,81,39.55,13.84,33.02,12.99
7,2,2,31,52.14,13.9,43.26,12.99
7,2,3,477,52.81,14.15,43.98,12.99
7,2,4,187,39.48,13.79,32.96,12.99
7,2,5,246,39.95,13.99,33.42,13.0
7,2,6,271,52.62,14.07,43.79,13.0
7,2,7,359,43.95,14.01,36.58,13.0
7,2,8,401,52.73,14.11,43.92,13.01
7,2,9,59,43.65,13.84,36.21,13.02
7,3,0,256,39.39,13.79,32.85,13.02
7,3,1,324,52.05,13.87,43.13,13.03
7,3,2,7,43.68,13.86,36.24,13.03
7,3,3,407,52.74,14.11,43.92,13.04
7,3,4,462,52.49,14.03,43.63,13.04
7,3,5,362,39.75,13.91,33.21,13.04
7,3,6,192,52.65,14.06,43.84,13.05
7,3,7,379,39.52,13.81,32.99,13.05
7,3,8,452,39.97,14.0,33.43,13.05
7,3,9,243,39.73,13.9,33.2,13.05
7,4,0,280,43.87,13.95,36.51,13.06
7,4,1,487,39.52,13.82,33.0,13.08
7,4,2,218,52.64,14.06,43.84,13.08
